"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C54";"C_0402_1005Metric";1;"10n";;;
2;"L3";"L_0402_1005Metric";1;"39n";;;
3;"C47,C45,C49,C44,C46,C51,C64,C56,C52,C50,C55,C48,C59";"C_0402_1005Metric";13;"47n";;;
4;"C41";"C_0402_1005Metric";1;"39p";;;
5;"R12";"R_0402_1005Metric";1;"56k 1%";;;
6;"L15";"L_0402_1005Metric";1;"20n";;;
7;"R16";"R_0402_1005Metric";1;"51 1%";;;
8;"C39,C66,C40";"C_0402_1005Metric";3;"10pF";;;
9;"C37,C61,C15";"C_0402_1005Metric";3;"1uF";;;
10;"L12";"L_0402_1005Metric";1;"56n";;;
11;"C60,C43,C38,C20";"C_0402_1005Metric";4;".1uF";;;
12;"C17,C16,C18,C19,C23";"C_0603_1608Metric";5;"4.7uF";;;
13;"L13";"L_0402_1005Metric";1;"51n";;;
14;"U7";"QFN_330-397LF_SKY";1;"SKY13330-397LF";;;
15;"C42";"C_0402_1005Metric";1;"24p";;;
16;"L14";"L_0402_1005Metric";1;"6.8n";;;
17;"MP1,MP2,MP3";"Mounting_Wuerth_WA-SMSI-M2_H2.5mm_9774025243";3;"WA-SMSI_9774XXX243";;;
18;"R15";"R_1206_3216Metric";1;"51 1%";;;
19;"U3";"LQFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm";1;"GRF5504";;;
20;"C65";"C_0402_1005Metric";1;"18p";;;
21;"C53";"C_0402_1005Metric";1;"220n";;;
22;"C57";"C_0402_1005Metric";1;"1n5";;;
23;"C14";"C_1210_3225Metric";1;"47uF";;;
24;"C62,C63,C58";"C_0402_1005Metric";3;"1n";;;
25;"L11";"L_0402_1005Metric";1;"33n";;;
26;"U4";"Texas_RGW0020A_VQFN-20-1EP_5x5mm_P0.65mm_EP3.15x3.15mm_ThermalVias";1;"TPS7A4701xRGW";;;
27;"L10";"L_0402_1005Metric";1;"5.6nH";;;
28;"L16";"L_0402_1005Metric";1;"22n";;;
29;"R24,R22,R23,R25,R27";"R_0402_1005Metric";5;"0";;;
30;"AE2";"MMCX_Molex_73415-1471_Vertical";1;"MMCX-J-P-H-RA-TH1";;;
31;"U5";"QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm";1;"CC1200";;;
32;"J1";"CONN24_6p32X1p85_hdr_HIR";1;"DF40C-24DP-0.4V";;;
33;"R18,R20,R8";"R_0402_1005Metric";3;"3k3";;;
34;"R10,R11,R26,R28";"R_0402_1005Metric";4;"27k";;;
35;"Q1,Q2,Q3";"SOT-23";3;"BSS138";;;
36;"U6";"SOT-23-5";1;"AT24CS01-STUM";;;
37;"R21,R13,R9,R19";"R_0402_1005Metric";4;"6k8";;;
38;"FB1,FB2";"L_0805_2012Metric_Pad1.05x1.20mm_HandSolder";2;"2508051217Y6";;;
39;"Y4";"Oscillator_SMD_SeikoEpson_TG2520SMN-xxx-xxxxxx-4Pin_2.5x2.0mm";1;"TG-5021CG";;;
